==================================================================
                        General Data File
==================================================================

%%%%%%%%%%%%%%%%%% Problem Size  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Number of Elements & Nodes , and nmats:
3780 4992 1

%%%%%%%%%%%%%%%%%%% Mesh Database  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
$ Coordinates
$  NODO  COOR.-X   COOR.-Y   COOR.-Z
       1  1.650000e+03 6.000000e+02 0.000000e+00
       2  1.650000e+03 5.600000e+02 0.000000e+00
       3  1.609756e+03 6.000000e+02 0.000000e+00
       4  1.650000e+03 6.000000e+02 4.700000e+01
       5  1.609756e+03 5.600000e+02 0.000000e+00
       6  1.650000e+03 5.600000e+02 4.700000e+01
       7  1.614746e+03 6.000000e+02 5.100858e+01
       8  1.614746e+03 5.600000e+02 5.100858e+01
       9  1.650000e+03 5.200000e+02 0.000000e+00
      10  1.569512e+03 6.000000e+02 0.000000e+00
      11  1.609756e+03 5.200000e+02 0.000000e+00
      12  1.569512e+03 5.600000e+02 0.000000e+00
      13  1.650000e+03 5.200000e+02 4.700000e+01
      14  1.650000e+03 6.000000e+02 9.400000e+01
      15  1.631777e+03 6.000000e+02 9.400000e+01
      16  1.614746e+03 5.200000e+02 5.100858e+01
      17  1.650000e+03 5.600000e+02 9.400000e+01
      18  1.631777e+03 5.600000e+02 9.400000e+01
      19  1.565460e+03 6.000000e+02 6.559931e+01
      20  1.569512e+03 5.200000e+02 0.000000e+00
      21  1.565460e+03 5.600000e+02 6.559931e+01
      22  1.650000e+03 4.800000e+02 0.000000e+00
      23  1.529268e+03 6.000000e+02 0.000000e+00
      24  1.595168e+03 6.000000e+02 1.099448e+02
      25  1.650000e+03 5.200000e+02 9.400000e+01
      26  1.631777e+03 5.200000e+02 9.400000e+01
      27  1.609756e+03 4.800000e+02 0.000000e+00
      28  1.529268e+03 5.600000e+02 0.000000e+00
      29  1.650000e+03 4.800000e+02 4.700000e+01
      30  1.595168e+03 5.600000e+02 1.099448e+02
      31  1.565460e+03 5.200000e+02 6.559931e+01
      32  1.614746e+03 4.800000e+02 5.100858e+01
      33  1.521074e+03 6.000000e+02 5.300548e+01
      34  1.569512e+03 4.800000e+02 0.000000e+00
      35  1.529268e+03 5.200000e+02 0.000000e+00
      36  1.521074e+03 5.600000e+02 5.300548e+01
      37  1.595168e+03 5.200000e+02 1.099448e+02
      38  1.650000e+03 4.800000e+02 9.400000e+01
      39  1.631777e+03 4.800000e+02 9.400000e+01
      40  1.650000e+03 4.400000e+02 0.000000e+00
      41  1.494145e+03 6.000000e+02 3.766480e+01
      42  1.521074e+03 5.200000e+02 5.300548e+01
      43  1.565460e+03 4.800000e+02 6.559931e+01
      44  1.489024e+03 6.000000e+02 0.000000e+00
      45  1.609756e+03 4.400000e+02 0.000000e+00
      46  1.494145e+03 5.600000e+02 3.766480e+01
      47  1.489024e+03 5.600000e+02 0.000000e+00
      48  1.650000e+03 4.400000e+02 4.700000e+01
      49  1.526802e+03 6.000000e+02 1.140377e+02
      50  1.529268e+03 4.800000e+02 0.000000e+00
      51  1.561607e+03 6.000000e+02 1.460223e+02
      52  1.614746e+03 4.400000e+02 5.100858e+01
      53  1.595168e+03 4.800000e+02 1.099448e+02
      54  1.526802e+03 5.600000e+02 1.140377e+02
      55  1.561607e+03 5.600000e+02 1.460223e+02
      56  1.494401e+03 6.000000e+02 8.723630e+01
      57  1.569512e+03 4.400000e+02 0.000000e+00
      58  1.494145e+03 5.200000e+02 3.766480e+01
      59  1.489024e+03 5.200000e+02 0.000000e+00
      60  1.494401e+03 5.600000e+02 8.723630e+01
      61  1.521074e+03 4.800000e+02 5.300548e+01
      62  1.650000e+03 4.400000e+02 9.400000e+01
      63  1.526802e+03 5.200000e+02 1.140377e+02
      64  1.631777e+03 4.400000e+02 9.400000e+01
      65  1.472336e+03 6.000000e+02 5.998893e+01
      66  1.561607e+03 5.200000e+02 1.460223e+02
      67  1.472336e+03 5.600000e+02 5.998893e+01
      68  1.565460e+03 4.400000e+02 6.559931e+01
      69  1.494401e+03 5.200000e+02 8.723630e+01
      70  1.650000e+03 4.000000e+02 0.000000e+00
      71  1.494145e+03 4.800000e+02 3.766480e+01
      72  1.529268e+03 4.400000e+02 0.000000e+00
      73  1.489024e+03 4.800000e+02 0.000000e+00
      74  1.448780e+03 6.000000e+02 0.000000e+00
      75  1.595168e+03 4.400000e+02 1.099448e+02
      76  1.528664e+03 6.000000e+02 1.618324e+02
      77  1.472336e+03 5.200000e+02 5.998893e+01
      78  1.609756e+03 4.000000e+02 0.000000e+00
      79  1.448780e+03 5.600000e+02 0.000000e+00
      80  1.650000e+03 4.000000e+02 4.700000e+01
      81  1.528664e+03 5.600000e+02 1.618324e+02
      82  1.526802e+03 4.800000e+02 1.140377e+02
      83  1.561607e+03 4.800000e+02 1.460223e+02
      84  1.614746e+03 4.000000e+02 5.100858e+01
      85  1.521074e+03 4.400000e+02 5.300548e+01
      86  1.446088e+03 6.000000e+02 6.063402e+01
      87  1.494401e+03 4.800000e+02 8.723630e+01
      88  1.569512e+03 4.000000e+02 0.000000e+00
      89  1.446088e+03 5.600000e+02 6.063402e+01
      90  1.448780e+03 5.200000e+02 0.000000e+00
      91  1.493763e+03 6.000000e+02 1.510105e+02
      92  1.528664e+03 5.200000e+02 1.618324e+02
      93  1.493763e+03 5.600000e+02 1.510105e+02
      94  1.650000e+03 4.000000e+02 9.400000e+01
      95  1.631777e+03 4.000000e+02 9.400000e+01
      96  1.472336e+03 4.800000e+02 5.998893e+01
      97  1.494145e+03 4.400000e+02 3.766480e+01
      98  1.565460e+03 4.000000e+02 6.559931e+01
      99  1.489024e+03 4.400000e+02 0.000000e+00
     100  1.446088e+03 5.200000e+02 6.063402e+01
     101  1.457391e+03 6.000000e+02 1.219131e+02
     102  1.457391e+03 5.600000e+02 1.219131e+02
     103  1.493763e+03 5.200000e+02 1.510105e+02
     104  1.526802e+03 4.400000e+02 1.140377e+02
     105  1.529268e+03 4.000000e+02 0.000000e+00
     106  1.561607e+03 4.400000e+02 1.460223e+02
     107  1.448780e+03 4.800000e+02 0.000000e+00
     108  1.595168e+03 4.000000e+02 1.099448e+02
     109  1.528664e+03 4.800000e+02 1.618324e+02
     110  1.494401e+03 4.400000e+02 8.723630e+01
     111  1.650000e+03 3.600000e+02 0.000000e+00
     112  1.408536e+03 6.000000e+02 0.000000e+00
     113  1.457391e+03 5.200000e+02 1.219131e+02
     114  1.609756e+03 3.600000e+02 0.000000e+00
     115  1.521074e+03 4.000000e+02 5.300548e+01
     116  1.446088e+03 4.800000e+02 6.063402e+01
     117  1.650000e+03 3.600000e+02 4.700000e+01
     118  1.408536e+03 5.600000e+02 0.000000e+00
     119  1.428023e+03 6.000000e+02 1.056372e+02
     120  1.472336e+03 4.400000e+02 5.998893e+01
     121  1.614746e+03 3.600000e+02 5.100858e+01
     122  1.493763e+03 4.800000e+02 1.510105e+02
     123  1.428023e+03 5.600000e+02 1.056372e+02
     124  1.569512e+03 3.600000e+02 0.000000e+00
     125  1.408536e+03 5.200000e+02 0.000000e+00
     126  1.494145e+03 4.000000e+02 3.766480e+01
     127  1.489024e+03 4.000000e+02 0.000000e+00
     128  1.448780e+03 4.400000e+02 0.000000e+00
     129  1.457391e+03 4.800000e+02 1.219131e+02
     130  1.650000e+03 3.600000e+02 9.400000e+01
     131  1.528664e+03 4.400000e+02 1.618324e+02
